event_id,user_id,event_name,event_timestamp,device_type,country,plan_type
64,5,login,2024-08-05 01:01:00,android,US,pro
65,5,login,2024-08-09 02:05:00,android,US,pro
66,5,feature_use,2024-08-09 03:14:00,android,US,pro
67,5,feature_use,2024-08-10 04:03:00,android,US,pro
68,5,login,2024-08-14 04:56:00,android,US,pro
69,5,feature_use,2024-08-18 05:29:00,android,US,pro
70,5,feature_use,2024-08-19 05:58:00,android,US,pro
71,6,landing_page,2024-04-23 03:45:00,ios,AU,
72,6,signup,2024-04-23 03:51:00,ios,AU,free
73,6,verify_email,2024-04-23 04:27:00,ios,AU,free
74,6,login,2024-04-23 05:06:00,ios,AU,free
75,6,start_trial,2024-04-23 05:14:00,ios,AU,basic
76,6,subscribe,2024-04-23 05:50:00,ios,AU,pro
77,6,login,2024-04-23 06:05:00,ios,AU,pro
78,6,feature_use,2024-04-27 06:59:00,ios,AU,pro
79,6,login,2024-04-27 08:49:00,ios,AU,pro
80,6,login,2024-05-01 10:30:00,ios,AU,pro
81,6,feature_use,2024-05-03 10:45:00,ios,AU,pro
82,6,feature_use,2024-05-06 11:03:00,ios,AU,pro
83,6,login,2024-05-11 12:44:00,ios,AU,pro
84,6,login,2024-05-11 14:02:00,ios,AU,pro
85,6,feature_use,2024-05-13 15:53:00,ios,AU,pro
86,6,login,2024-05-14 17:06:00,ios,AU,pro
87,6,feature_use,2024-05-16 19:04:00,ios,AU,pro
88,6,login,2024-05-20 19:26:00,ios,AU,pro
89,6,feature_use,2024-05-22 20:47:00,ios,AU,pro
90,6,feature_use,2024-05-22 20:57:00,ios,AU,pro
91,6,login,2024-05-27 22:11:00,ios,AU,pro
92,6,cancel,2024-05-28 23:36:00,ios,AU,pro
93,7,landing_page,2024-05-26 01:02:00,ios,UK,
94,7,signup,2024-05-26 01:30:00,ios,UK,free
95,7,verify_email,2024-05-26 02:30:00,ios,UK,free
96,7,login,2024-05-26 03:10:00,ios,UK,free
97,7,start_trial,2024-05-26 04:03:00,ios,UK,basic
98,7,subscribe,2024-05-26 04:12:00,ios,UK,pro
99,7,login,2024-05-26 04:28:00,ios,UK,pro
100,7,login,2024-05-27 04:40:00,ios,UK,pro
101,7,feature_use,2024-05-30 05:15:00,ios,UK,pro
102,7,feature_use,2024-06-03 05:45:00,ios,UK,pro
103,7,login,2024-06-06 07:26:00,ios,UK,pro
104,7,feature_use,2024-06-09 09:05:00,ios,UK,pro
105,7,login,2024-06-11 10:23:00,ios,UK,pro
106,7,login,2024-06-13 10:34:00,ios,UK,pro
107,7,login,2024-06-14 12:22:00,ios,UK,pro
108,8,landing_page,2024-01-25 05:49:00,ios,CA,
109,8,signup,2024-01-25 06:15:00,ios,CA,free
110,8,verify_email,2024-01-25 06:50:00,ios,CA,free
111,8,login,2024-01-25 07:29:00,ios,CA,free
112,8,start_trial,2024-01-25 08:10:00,ios,CA,basic
113,8,subscribe,2024-01-25 08:59:00,ios,CA,pro
114,8,login,2024-01-25 09:04:00,ios,CA,pro
115,8,login,2024-01-27 10:09:00,ios,CA,pro
116,8,login,2024-01-27 11:01:00,ios,CA,pro
117,8,feature_use,2024-01-27 11:20:00,ios,CA,pro
118,8,login,2024-01-31 12:42:00,ios,CA,pro
119,8,feature_use,2024-01-31 13:14:00,ios,CA,pro
120,8,feature_use,2024-02-04 13:50:00,ios,CA,pro
121,8,feature_use,2024-02-07 15:01:00,ios,CA,pro
122,8,feature_use,2024-02-07 16:05:00,ios,CA,pro
123,8,feature_use,2024-02-11 17:43:00,ios,CA,pro
124,8,feature_use,2024-02-16 19:39:00,ios,CA,pro
125,8,feature_use,2024-02-21 21:18:00,ios,CA,pro
126,8,feature_use,2024-02-22 22:42:00,ios,CA,pro
127,8,feature_use,2024-02-24 23:14:00,ios,CA,pro
128,8,login,2024-02-27 00:24:00,ios,CA,pro
129,8,cancel,2024-02-27 01:08:00,ios,CA,pro
130,9,landing_page,2024-08-07 07:39:00,android,IN,
131,10,landing_page,2024-08-07 00:13:00,android,US,
132,10,signup,2024-08-07 00:58:00,android,US,free
133,10,verify_email,2024-08-07 01:15:00,android,US,free
134,10,login,2024-08-07 02:01:00,android,US,free
135,10,start_trial,2024-08-07 02:57:00,android,US,basic
136,10,subscribe,2024-08-07 03:45:00,android,US,pro
137,10,login,2024-08-07 04:32:00,android,US,pro
138,10,feature_use,2024-08-09 06:19:00,android,US,pro
139,10,feature_use,2024-08-13 07:20:00,android,US,pro
140,10,feature_use,2024-08-13 08:47:00,android,US,pro
141,10,login,2024-08-17 09:15:00,android,US,pro
142,10,login,2024-08-19 09:40:00,android,US,pro
143,10,feature_use,2024-08-19 10:35:00,android,US,pro
144,10,cancel,2024-08-19 11:46:00,android,US,pro
145,11,landing_page,2024-02-05 05:30:00,web,US,
146,11,signup,2024-02-05 06:00:00,web,US,free
147,11,verify_email,2024-02-05 06:45:00,web,US,free
148,11,login,2024-02-05 07:02:00,web,US,free
149,11,start_trial,2024-02-05 07:57:00,web,US,basic
150,11,subscribe,2024-02-05 08:48:00,web,US,pro
151,11,login,2024-02-05 09:03:00,web,US,pro
152,11,feature_use,2024-02-06 09:48:00,web,US,pro
153,11,feature_use,2024-02-09 11:41:00,web,US,pro
154,11,cancel,2024-02-13 13:31:00,web,US,pro
155,12,landing_page,2024-03-02 03:28:00,ios,CA,
156,12,signup,2024-03-02 03:38:00,ios,CA,free
157,13,landing_page,2024-10-19 08:18:00,ios,IN,
158,14,landing_page,2024-05-28 10:58:00,web,UK,
159,14,signup,2024-05-28 11:15:00,web,UK,free
160,14,verify_email,2024-05-28 11:20:00,web,UK,free
161,14,login,2024-05-28 11:45:00,web,UK,free
162,14,start_trial,2024-05-28 11:52:00,web,UK,basic
163,14,subscribe,2024-05-28 12:39:00,web,UK,pro
164,14,feature_use,2024-05-28 12:46:00,web,UK,pro
165,14,login,2024-05-28 13:18:00,web,UK,pro
166,14,login,2024-05-28 13:59:00,web,UK,pro
167,14,login,2024-06-01 14:35:00,web,UK,pro
168,14,login,2024-06-01 15:34:00,web,UK,pro
169,14,login,2024-06-04 16:22:00,web,UK,pro
170,14,feature_use,2024-06-04 17:12:00,web,UK,pro
171,14,feature_use,2024-06-07 17:25:00,web,UK,pro
172,14,feature_use,2024-06-12 18:44:00,web,UK,pro
173,14,feature_use,2024-06-12 19:32:00,web,UK,pro
174,14,login,2024-06-15 19:49:00,web,UK,pro
175,14,feature_use,2024-06-16 21:47:00,web,UK,pro
176,14,feature_use,2024-06-20 21:58:00,web,UK,pro
177,14,login,2024-06-22 22:20:00,web,UK,pro
178,15,landing_page,2024-10-03 09:32:00,ios,UK,
179,15,signup,2024-10-03 10:15:00,ios,UK,free
180,15,verify_email,2024-10-03 10:32:00,ios,UK,free
181,15,login,2024-10-03 10:44:00,ios,UK,free
182,15,start_trial,2024-10-03 10:58:00,ios,UK,basic
183,15,login,2024-10-03 11:03:00,ios,UK,basic
184,15,login,2024-10-07 12:43:00,ios,UK,basic
185,15,feature_use,2024-10-11 14:24:00,ios,UK,basic
186,15,login,2024-10-11 15:55:00,ios,UK,basic
187,15,login,2024-10-15 17:38:00,ios,UK,basic
188,15,login,2024-10-15 18:26:00,ios,UK,basic
189,15,feature_use,2024-10-18 19:50:00,ios,UK,basic
190,15,login,2024-10-18 20:56:00,ios,UK,basic
191,15,feature_use,2024-10-20 22:28:00,ios,UK,basic
192,15,feature_use,2024-10-24 23:55:00,ios,UK,basic
193,15,feature_use,2024-10-29 01:44:00,ios,UK,basic
194,15,login,2024-11-01 02:33:00,ios,UK,basic
195,15,feature_use,2024-11-04 03:44:00,ios,UK,basic
196,15,login,2024-11-06 04:26:00,ios,UK,basic
197,15,login,2024-11-06 06:23:00,ios,UK,basic
198,15,login,2024-11-07 06:54:00,ios,UK,basic
199,15,feature_use,2024-11-08 08:12:00,ios,UK,basic
200,16,landing_page,2024-05-07 06:58:00,web,CA,
201,16,signup,2024-05-07 07:31:00,web,CA,free
202,16,verify_email,2024-05-07 08:09:00,web,CA,free
203,16,login,2024-05-07 08:48:00,web,CA,free
204,16,start_trial,2024-05-07 09:02:00,web,CA,basic
205,16,subscribe,2024-05-07 09:48:00,web,CA,pro
206,16,login,2024-05-07 09:57:00,web,CA,pro
207,16,feature_use,2024-05-10 11:36:00,web,CA,pro
208,16,feature_use,2024-05-10 13:09:00,web,CA,pro
209,16,feature_use,2024-05-11 14:24:00,web,CA,pro
210,16,feature_use,2024-05-14 16:01:00,web,CA,pro
211,16,cancel,2024-05-19 17:23:00,web,CA,pro
212,17,landing_page,2024-08-26 03:01:00,android,US,
213,17,signup,2024-08-26 03:52:00,android,US,free
214,17,verify_email,2024-08-26 04:11:00,android,US,free
215,17,login,2024-08-26 04:22:00,android,US,free
216,17,start_trial,2024-08-26 05:18:00,android,US,basic
217,17,login,2024-08-26 05:49:00,android,US,basic
218,17,feature_use,2024-08-31 06:38:00,android,US,basic
219,17,login,2024-09-02 07:20:00,android,US,basic
220,17,login,2024-09-05 08:13:00,android,US,basic
221,17,login,2024-09-08 09:33:00,android,US,basic
222,17,login,2024-09-10 11:19:00,android,US,basic
223,17,feature_use,2024-09-15 13:12:00,android,US,basic
224,17,login,2024-09-15 13:49:00,android,US,basic
225,17,login,2024-09-16 14:50:00,android,US,basic
226,17,feature_use,2024-09-16 16:14:00,android,US,basic
227,17,feature_use,2024-09-18 17:16:00,android,US,basic
228,17,login,2024-09-23 18:14:00,android,US,basic
229,17,login,2024-09-26 19:23:00,android,US,basic
230,17,login,2024-09-30 21:21:00,android,US,basic
231,18,landing_page,2024-03-27 05:08:00,android,US,
232,18,signup,2024-03-27 05:36:00,android,US,free
233,18,verify_email,2024-03-27 06:09:00,android,US,free
234,18,login,2024-03-27 06:29:00,android,US,free
235,18,start_trial,2024-03-27 06:49:00,android,US,basic
236,18,feature_use,2024-03-27 07:05:00,android,US,basic
237,18,feature_use,2024-03-28 08:55:00,android,US,basic
238,18,login,2024-03-30 09:45:00,android,US,basic
239,19,landing_page,2024-05-02 16:31:00,android,AU,
240,19,signup,2024-05-02 16:45:00,android,AU,free
241,19,verify_email,2024-05-02 17:21:00,android,AU,free
242,19,login,2024-05-02 17:36:00,android,AU,free
243,19,start_trial,2024-05-02 17:49:00,android,AU,basic
244,19,subscribe,2024-05-02 18:15:00,android,AU,pro
245,19,login,2024-05-02 19:02:00,android,AU,pro
246,19,feature_use,2024-05-07 19:47:00,android,AU,pro
247,19,login,2024-05-12 20:38:00,android,AU,pro
248,19,login,2024-05-15 22:19:00,android,AU,pro
249,19,login,2024-05-20 23:49:00,android,AU,pro
250,19,login,2024-05-23 00:52:00,android,AU,pro
251,19,feature_use,2024-05-28 01:14:00,android,AU,pro
252,19,feature_use,2024-06-02 02:31:00,android,AU,pro
253,19,login,2024-06-06 04:22:00,android,AU,pro
254,19,feature_use,2024-06-10 05:26:00,android,AU,pro
255,19,login,2024-06-14 06:52:00,android,AU,pro
256,19,feature_use,2024-06-19 07:45:00,android,AU,pro
257,19,feature_use,2024-06-22 08:29:00,android,AU,pro
258,19,feature_use,2024-06-22 10:25:00,android,AU,pro
259,19,feature_use,2024-06-25 11:20:00,android,AU,pro
260,19,login,2024-06-27 11:59:00,android,AU,pro
261,19,feature_use,2024-06-28 13:30:00,android,AU,pro
262,19,login,2024-06-28 14:59:00,android,AU,pro
263,19,feature_use,2024-07-01 15:38:00,android,AU,pro
264,19,login,2024-07-03 15:56:00,android,AU,pro
265,20,landing_page,2024-07-29 10:50:00,ios,US,
266,20,signup,2024-07-29 11:06:00,ios,US,free
267,20,verify_email,2024-07-29 12:04:00,ios,US,free
268,20,login,2024-07-29 12:13:00,ios,US,free
269,20,start_trial,2024-07-29 12:24:00,ios,US,basic
270,20,feature_use,2024-07-29 13:06:00,ios,US,basic
271,20,login,2024-08-02 14:39:00,ios,US,basic
272,20,login,2024-08-05 14:55:00,ios,US,basic
273,20,feature_use,2024-08-05 16:07:00,ios,US,basic
274,20,feature_use,2024-08-06 16:27:00,ios,US,basic
275,20,login,2024-08-07 17:22:00,ios,US,basic
276,20,login,2024-08-09 18:51:00,ios,US,basic
277,20,feature_use,2024-08-11 19:26:00,ios,US,basic
278,20,login,2024-08-14 20:14:00,ios,US,basic
279,20,login,2024-08-15 21:01:00,ios,US,basic
280,20,login,2024-08-17 22:59:00,ios,US,basic
281,20,feature_use,2024-08-18 00:55:00,ios,US,basic
282,20,login,2024-08-18 01:08:00,ios,US,basic
283,20,feature_use,2024-08-18 01:54:00,ios,US,basic
284,20,login,2024-08-19 02:59:00,ios,US,basic
285,20,login,2024-08-22 04:34:00,ios,US,basic
286,20,feature_use,2024-08-26 06:17:00,ios,US,basic
287,20,login,2024-08-29 08:14:00,ios,US,basic
288,21,landing_page,2024-03-08 15:22:00,ios,AU,
289,21,signup,2024-03-08 16:16:00,ios,AU,free
290,21,verify_email,2024-03-08 16:49:00,ios,AU,free
291,21,login,2024-03-08 17:12:00,ios,AU,free
292,21,start_trial,2024-03-08 17:22:00,ios,AU,basic
293,21,login,2024-03-08 18:20:00,ios,AU,basic
294,21,login,2024-03-12 20:08:00,ios,AU,basic
295,21,login,2024-03-14 20:44:00,ios,AU,basic
296,21,login,2024-03-18 21:27:00,ios,AU,basic
297,21,feature_use,2024-03-20 23:18:00,ios,AU,basic
298,22,landing_page,2024-01-25 10:15:00,android,UK,
299,22,signup,2024-01-25 10:56:00,android,UK,free
300,22,verify_email,2024-01-25 11:54:00,android,UK,free
301,22,login,2024-01-25 12:05:00,android,UK,free
302,22,start_trial,2024-01-25 12:44:00,android,UK,basic
303,22,feature_use,2024-01-25 13:10:00,android,UK,basic
304,22,feature_use,2024-01-25 13:46:00,android,UK,basic
305,22,feature_use,2024-01-27 15:19:00,android,UK,basic
306,22,feature_use,2024-01-30 17:03:00,android,UK,basic
307,22,feature_use,2024-02-01 17:29:00,android,UK,basic
308,22,feature_use,2024-02-02 18:00:00,android,UK,basic
309,22,login,2024-02-06 18:26:00,android,UK,basic
310,22,feature_use,2024-02-07 19:25:00,android,UK,basic
311,22,login,2024-02-12 20:12:00,android,UK,basic
312,22,login,2024-02-14 21:37:00,android,UK,basic
313,22,feature_use,2024-02-14 22:35:00,android,UK,basic
314,22,login,2024-02-16 23:51:00,android,UK,basic
315,22,login,2024-02-20 00:36:00,android,UK,basic
316,22,login,2024-02-24 02:36:00,android,UK,basic
317,22,login,2024-02-27 03:17:00,android,UK,basic
318,23,landing_page,2024-01-15 17:37:00,ios,CA,
319,23,signup,2024-01-15 18:10:00,ios,CA,free
320,24,landing_page,2024-08-10 23:59:00,ios,AU,
321,24,signup,2024-08-11 00:40:00,ios,AU,free
322,24,verify_email,2024-08-11 01:35:00,ios,AU,free
323,24,login,2024-08-11 02:23:00,ios,AU,free
324,24,start_trial,2024-08-11 02:29:00,ios,AU,basic
325,24,feature_use,2024-08-11 03:01:00,ios,AU,basic
326,24,feature_use,2024-08-14 03:58:00,ios,AU,basic
327,24,login,2024-08-18 05:32:00,ios,AU,basic
328,24,login,2024-08-23 05:58:00,ios,AU,basic
329,24,login,2024-08-27 07:03:00,ios,AU,basic
330,24,feature_use,2024-08-30 07:51:00,ios,AU,basic
331,24,login,2024-08-30 08:42:00,ios,AU,basic
332,24,login,2024-08-30 09:51:00,ios,AU,basic
333,24,login,2024-08-31 11:34:00,ios,AU,basic
334,24,login,2024-09-01 11:57:00,ios,AU,basic
335,24,feature_use,2024-09-02 13:24:00,ios,AU,basic
336,24,login,2024-09-02 13:57:00,ios,AU,basic
337,24,feature_use,2024-09-02 14:35:00,ios,AU,basic
338,24,login,2024-09-02 16:30:00,ios,AU,basic
339,24,feature_use,2024-09-03 18:07:00,ios,AU,basic
340,24,login,2024-09-08 18:45:00,ios,AU,basic
341,24,feature_use,2024-09-12 20:33:00,ios,AU,basic
342,24,login,2024-09-17 21:53:00,ios,AU,basic
343,24,feature_use,2024-09-18 23:05:00,ios,AU,basic
344,24,login,2024-09-18 23:56:00,ios,AU,basic
345,25,landing_page,2024-06-28 10:40:00,android,CA,
346,25,signup,2024-06-28 11:37:00,android,CA,free
347,26,landing_page,2024-05-27 22:33:00,web,US,
348,26,signup,2024-05-27 22:53:00,web,US,free
349,26,verify_email,2024-05-27 23:20:00,web,US,free
350,26,login,2024-05-27 23:25:00,web,US,free
351,26,start_trial,2024-05-27 23:53:00,web,US,basic
352,26,subscribe,2024-05-28 00:51:00,web,US,pro
353,26,login,2024-05-28 01:45:00,web,US,pro
354,26,feature_use,2024-05-31 03:23:00,web,US,pro
355,26,login,2024-06-01 05:03:00,web,US,pro
356,26,login,2024-06-03 06:19:00,web,US,pro
357,26,feature_use,2024-06-04 08:14:00,web,US,pro
358,26,feature_use,2024-06-04 10:05:00,web,US,pro
359,26,feature_use,2024-06-04 10:51:00,web,US,pro
360,26,feature_use,2024-06-08 12:10:00,web,US,pro
361,26,feature_use,2024-06-09 13:51:00,web,US,pro
362,26,login,2024-06-14 14:52:00,web,US,pro
363,26,feature_use,2024-06-15 15:52:00,web,US,pro
364,26,feature_use,2024-06-15 16:08:00,web,US,pro
365,26,feature_use,2024-06-15 16:43:00,web,US,pro
366,26,login,2024-06-19 17:35:00,web,US,pro
367,26,login,2024-06-20 18:20:00,web,US,pro
368,26,login,2024-06-22 19:03:00,web,US,pro
369,26,feature_use,2024-06-25 20:34:00,web,US,pro
370,26,login,2024-06-25 21:55:00,web,US,pro
371,26,login,2024-06-28 23:12:00,web,US,pro
372,26,cancel,2024-07-02 23:26:00,web,US,pro
373,27,landing_page,2024-09-22 05:11:00,android,AU,
374,27,signup,2024-09-22 05:53:00,android,AU,free
375,28,landing_page,2024-07-27 16:25:00,ios,IN,
376,28,signup,2024-07-27 17:10:00,ios,IN,free
377,28,verify_email,2024-07-27 17:50:00,ios,IN,free
378,28,login,2024-07-27 18:10:00,ios,IN,free
379,28,start_trial,2024-07-27 18:15:00,ios,IN,basic
380,28,subscribe,2024-07-27 19:05:00,ios,IN,pro
381,28,login,2024-07-27 19:47:00,ios,IN,pro
382,28,login,2024-07-31 21:41:00,ios,IN,pro
383,28,feature_use,2024-08-02 22:20:00,ios,IN,pro
384,28,feature_use,2024-08-05 23:28:00,ios,IN,pro
385,28,feature_use,2024-08-08 01:19:00,ios,IN,pro
386,28,feature_use,2024-08-12 02:34:00,ios,IN,pro
387,28,feature_use,2024-08-17 03:11:00,ios,IN,pro
388,28,login,2024-08-18 05:01:00,ios,IN,pro
389,28,feature_use,2024-08-20 05:33:00,ios,IN,pro
390,28,login,2024-08-24 06:20:00,ios,IN,pro
391,28,feature_use,2024-08-26 07:38:00,ios,IN,pro
392,28,login,2024-08-28 08:18:00,ios,IN,pro
393,28,login,2024-08-31 09:14:00,ios,IN,pro
394,28,login,2024-09-03 09:40:00,ios,IN,pro
395,28,feature_use,2024-09-04 10:27:00,ios,IN,pro
396,28,login,2024-09-07 10:52:00,ios,IN,pro
397,28,feature_use,2024-09-11 12:14:00,ios,IN,pro
398,28,login,2024-09-13 14:01:00,ios,IN,pro
399,28,login,2024-09-16 15:30:00,ios,IN,pro
400,29,landing_page,2024-10-27 19:56:00,web,UK,
401,29,signup,2024-10-27 20:35:00,web,UK,free
402,29,verify_email,2024-10-27 21:02:00,web,UK,free
403,29,login,2024-10-27 21:26:00,web,UK,free
404,29,start_trial,2024-10-27 22:13:00,web,UK,basic
405,29,login,2024-10-27 22:55:00,web,UK,basic
406,29,login,2024-11-02 00:43:00,web,UK,basic
407,29,feature_use,2024-11-06 02:05:00,web,UK,basic
408,29,feature_use,2024-11-11 04:05:00,web,UK,basic
409,30,landing_page,2024-02-24 06:31:00,ios,IN,
410,30,signup,2024-02-24 06:48:00,ios,IN,free
411,30,verify_email,2024-02-24 07:01:00,ios,IN,free
412,30,login,2024-02-24 07:18:00,ios,IN,free
413,30,start_trial,2024-02-24 08:01:00,ios,IN,basic
414,30,subscribe,2024-02-24 08:45:00,ios,IN,pro
415,30,login,2024-02-24 08:58:00,ios,IN,pro
416,30,login,2024-02-26 10:58:00,ios,IN,pro
417,30,feature_use,2024-03-01 12:02:00,ios,IN,pro
418,30,feature_use,2024-03-04 12:19:00,ios,IN,pro
419,30,feature_use,2024-03-06 13:19:00,ios,IN,pro
420,30,login,2024-03-08 14:56:00,ios,IN,pro
421,30,login,2024-03-09 15:31:00,ios,IN,pro
422,30,feature_use,2024-03-13 16:43:00,ios,IN,pro
423,30,feature_use,2024-03-15 16:59:00,ios,IN,pro
424,30,feature_use,2024-03-19 18:23:00,ios,IN,pro
425,30,login,2024-03-21 19:42:00,ios,IN,pro
426,30,login,2024-03-22 21:21:00,ios,IN,pro
427,30,login,2024-03-22 22:09:00,ios,IN,pro
428,30,feature_use,2024-03-25 23:37:00,ios,IN,pro
429,30,cancel,2024-03-26 00:53:00,ios,IN,pro
430,31,landing_page,2024-03-08 15:37:00,web,AU,
431,31,signup,2024-03-08 16:11:00,web,AU,free
432,31,verify_email,2024-03-08 16:42:00,web,AU,free
433,31,login,2024-03-08 17:39:00,web,AU,free
434,31,start_trial,2024-03-08 17:53:00,web,AU,basic
435,31,subscribe,2024-03-08 18:39:00,web,AU,pro
436,31,login,2024-03-08 18:49:00,web,AU,pro
437,31,feature_use,2024-03-13 19:06:00,web,AU,pro
438,31,feature_use,2024-03-18 20:13:00,web,AU,pro
439,31,login,2024-03-22 21:03:00,web,AU,pro
440,31,feature_use,2024-03-26 22:58:00,web,AU,pro
441,31,login,2024-03-30 23:53:00,web,AU,pro
442,31,login,2024-04-02 01:39:00,web,AU,pro
443,31,login,2024-04-02 02:37:00,web,AU,pro
444,31,cancel,2024-04-02 04:20:00,web,AU,pro
445,32,landing_page,2024-02-12 02:02:00,web,IN,
446,32,signup,2024-02-12 02:36:00,web,IN,free
447,33,landing_page,2024-07-27 14:52:00,android,CA,
448,33,signup,2024-07-27 15:52:00,android,CA,free
449,33,verify_email,2024-07-27 16:09:00,android,CA,free
450,33,login,2024-07-27 16:29:00,android,CA,free
451,33,start_trial,2024-07-27 17:29:00,android,CA,basic
452,33,feature_use,2024-07-27 18:07:00,android,CA,basic
453,33,login,2024-08-01 18:57:00,android,CA,basic
454,33,login,2024-08-04 19:27:00,android,CA,basic
455,34,landing_page,2024-05-22 05:30:00,web,UK,
456,35,landing_page,2024-04-04 12:48:00,web,IN,
457,35,signup,2024-04-04 13:11:00,web,IN,free
458,36,landing_page,2024-05-20 18:05:00,web,IN,
459,36,signup,2024-05-20 18:44:00,web,IN,free
460,36,verify_email,2024-05-20 19:41:00,web,IN,free
461,36,login,2024-05-20 20:12:00,web,IN,free
462,36,start_trial,2024-05-20 21:05:00,web,IN,basic
463,36,subscribe,2024-05-20 21:33:00,web,IN,pro
464,36,login,2024-05-20 22:05:00,web,IN,pro
465,36,feature_use,2024-05-21 23:35:00,web,IN,pro
466,36,feature_use,2024-05-23 01:13:00,web,IN,pro
467,36,login,2024-05-23 02:35:00,web,IN,pro
468,36,login,2024-05-23 02:51:00,web,IN,pro
469,37,landing_page,2024-05-26 16:53:00,web,CA,
470,37,signup,2024-05-26 17:43:00,web,CA,free
471,37,verify_email,2024-05-26 18:12:00,web,CA,free
472,37,login,2024-05-26 19:11:00,web,CA,free
473,37,start_trial,2024-05-26 19:54:00,web,CA,basic
474,37,login,2024-05-26 20:23:00,web,CA,basic
475,37,feature_use,2024-05-26 22:21:00,web,CA,basic
476,37,login,2024-05-27 22:39:00,web,CA,basic
477,37,login,2024-05-31 22:56:00,web,CA,basic
478,37,login,2024-06-01 23:34:00,web,CA,basic
479,37,feature_use,2024-06-06 01:06:00,web,CA,basic
480,37,feature_use,2024-06-06 02:22:00,web,CA,basic
481,37,feature_use,2024-06-08 04:10:00,web,CA,basic
482,38,landing_page,2024-08-30 01:47:00,ios,AU,
483,38,signup,2024-08-30 02:36:00,ios,AU,free
484,38,verify_email,2024-08-30 02:54:00,ios,AU,free
485,38,login,2024-08-30 03:15:00,ios,AU,free
486,38,start_trial,2024-08-30 03:55:00,ios,AU,basic
487,38,subscribe,2024-08-30 04:30:00,ios,AU,pro
488,38,login,2024-08-30 05:23:00,ios,AU,pro
